project_id,sprint_velocity,scope_changes,team_load,on_time
1,472.33,61.76,206.98,0
2,186.12,107.99,70.14,0
3,394.55,207.11,286.73,1
4,299.73,230.4,112.08,0
5,154.22,300.73,119.13,0
6,462.14,395.9,299.99,1
7,435.97,217.25,345.29,1
8,188.43,421.22,386.94,1
9,486.86,174.8,373.12,1
10,120.02,307.74,58.1,0
11,404.69,83.23,253.76,0
12,343.64,257.31,472.01,1
13,240.82,368.32,342.5,1
14,25.09,173.68,293.96,0
15,448.45,157.47,163.61,0
16,291.08,27.03,213.82,0
17,201.25,205.84,341.88,0
18,183.79,370.37,484.45,1
19,329.47,320.17,299.52,1
20,180.04,369.75,127.58,0
21,258.71,271.52,25.55,0
22,191.76,476.0,473.73,1
23,37.05,189.42,479.18,0
24,132.7,166.17,206.47,0
25,422.07,443.25,46.36,1
26,410.9,91.95,195.86,0
27,336.99,193.52,489.05,1
28,240.59,492.47,287.85,1
29,485.22,467.76,75.58,1
30,421.73,223.59,182.83,1
31,130.08,229.02,25.31,0
32,288.1,416.65,389.2,1
33,478.42,199.78,16.32,0
34,394.95,20.32,204.95,0
35,190.98,107.81,320.92,0
36,240.26,480.89,42.24,0
37,263.74,428.86,209.13,1
38,451.93,427.24,303.11,1
39,360.0,348.26,68.16,0
40,205.09,149.03,116.72,0
41,236.4,324.15,88.55,0
42,55.23,478.82,77.74,0
43,251.1,309.43,374.55,1
44,122.22,150.76,261.5,0
45,55.63,174.92,340.44,0
46,54.73,178.32,293.4,0
47,115.75,456.2,494.42,1
48,352.57,10.87,153.35,0
49,97.8,384.2,232.34,0
50,288.51,236.96,15.68,0
51,305.28,157.99,395.71,1
52,483.47,104.29,213.86,0
53,234.52,467.97,317.48,1
54,389.52,211.88,80.76,0
55,27.1,498.07,433.48,1
56,325.86,242.0,425.63,1
57,490.35,485.07,238.18,1
58,33.22,297.36,210.53,0
59,454.75,157.79,352.54,1
60,86.33,406.75,137.46,0
61,340.87,159.39,180.75,0
62,22.39,421.89,287.99,0
63,40.12,340.13,260.8,0
64,76.0,177.91,491.09,0
65,451.65,283.76,301.03,1
66,393.62,220.21,10.33,0
67,334.28,49.26,288.32,0
68,328.23,494.68,173.93,1
69,153.94,63.52,239.92,0
70,268.77,254.73,11.12,0
71,246.12,380.75,198.56,1
72,476.05,385.28,69.37,1
73,232.56,168.62,360.08,0
74,375.99,347.99,256.15,1
75,185.74,135.81,380.67,0
76,463.46,259.63,208.88,1
77,427.66,155.36,429.58,1
78,496.02,350.71,138.06,1
79,121.25,140.82,305.35,0
80,436.49,353.22,262.42,1
81,243.73,317.25,208.66,0
82,259.6,176.35,218.92,0
83,275.48,132.25,462.45,1
84,55.0,433.81,423.95,1
85,441.73,414.8,83.3,1
86,306.15,471.22,79.62,1
87,61.6,338.35,461.19,1
88,372.14,441.77,189.37,1
89,65.58,66.04,177.43,0
90,196.81,169.59,151.88,0
91,338.07,368.89,104.16,1
92,237.98,70.8,189.0,0
93,41.84,333.24,15.22,0
94,314.91,119.09,227.87,0
95,189.7,418.09,249.73,1
96,196.86,344.23,261.87,1
97,89.85,286.4,362.08,0
98,100.12,429.44,173.84,0
99,496.61,120.82,225.95,1
100,306.18,454.85,74.0,1
101,297.84,222.27,382.1,1
102,392.68,381.91,199.44,1
103,197.93,73.79,88.44,0
104,85.54,318.6,55.23,0
105,307.51,421.66,15.24,0
106,208.37,434.49,152.22,0
107,207.69,174.14,313.93,0
108,53.04,234.72,366.33,0
109,216.24,240.1,375.81,1
110,35.45,453.03,395.52,1
111,451.96,249.99,376.24,1
112,193.68,238.69,105.89,0
113,360.51,483.63,200.48,1
114,298.28,185.43,105.58,0
115,225.67,339.66,244.9,1
116,175.84,446.38,13.28,0
117,25.65,408.54,480.12,1
118,330.75,60.19,498.26,1
119,58.73,497.63,106.32,0
120,125.05,18.24,326.38,0
121,479.86,253.15,486.79,1
122,194.16,382.73,381.02,1
123,187.62,79.09,288.66,0
124,348.05,132.58,47.64,0
125,142.18,479.34,283.78,1
126,190.41,226.74,132.17,0
127,160.66,332.27,196.6,0
128,350.71,374.3,140.65,1
129,47.87,237.87,496.28,0
130,196.65,489.78,433.33,1
131,498.66,376.8,329.14,1
132,324.07,389.57,454.11,1
133,242.82,269.06,49.97,0
134,151.71,81.81,99.25,0
135,21.11,375.71,417.11,1
136,455.65,84.13,305.24,1
137,461.19,416.98,321.33,1
138,489.47,412.2,388.69,1
139,244.94,57.4,310.66,0
140,300.71,181.86,221.76,0
141,151.61,173.96,109.21,0
142,415.91,167.83,467.7,1
143,295.5,304.93,297.21,1
144,155.37,490.02,308.65,1
145,154.58,65.65,362.74,0
146,184.55,426.58,483.8,1
147,338.64,27.98,293.5,0
148,387.09,488.37,323.84,1
149,60.83,299.52,174.3,0
150,465.15,232.24,396.16,1
151,379.03,131.35,498.07,1
152,404.39,152.39,118.27,0
153,106.79,478.05,348.5,1
154,80.01,164.53,137.37,0
155,369.76,42.94,431.81,1
156,470.09,138.96,286.44,1
157,179.9,469.45,484.23,1
158,59.0,325.25,329.55,0
159,170.01,71.04,293.7,0
160,420.5,232.59,404.33,1
161,413.64,467.6,196.11,1
162,124.83,188.93,283.7,0
163,85.9,325.51,365.4,0
164,252.79,292.15,497.07,1
165,167.06,50.1,370.21,0
166,426.82,304.05,448.76,1
167,237.84,235.39,456.47,1
168,121.12,444.39,351.94,1
169,220.93,171.88,447.07,1
170,119.08,352.26,332.44,1
171,354.91,247.49,445.32,1
172,486.29,127.47,220.91,1
173,308.14,196.87,384.33,1
174,126.41,297.88,483.64,1
175,407.91,408.81,103.73,1
176,188.77,465.27,168.66,1
177,53.2,208.94,448.09,0
178,85.32,25.04,372.66,0
179,191.73,259.84,361.63,1
180,419.08,234.85,140.71,0
181,121.07,379.89,158.7,0
182,393.42,129.09,35.13,0
183,50.36,308.05,133.25,0
184,421.42,492.93,78.57,1
185,360.34,212.39,41.88,0
186,53.25,444.6,13.68,0
187,30.77,228.37,408.85,0
188,133.22,100.63,39.86,0
189,97.82,12.17,344.9,0
190,327.21,106.07,165.86,0
191,240.81,94.34,149.93,0
192,290.8,12.65,55.74,0
193,149.74,114.98,309.15,0
194,489.4,207.15,420.38,1
195,60.04,325.86,134.04,0
196,334.84,389.95,278.42,1
197,270.44,280.84,493.63,1
198,495.04,263.45,335.24,1
199,477.88,117.16,237.0,1
200,245.02,122.32,54.37,0
201,229.52,153.72,361.25,0
202,184.77,301.91,98.19,0
203,94.2,331.63,285.18,0
204,344.1,128.82,15.65,0
205,444.55,85.09,492.06,1
206,243.34,31.97,466.84,0
207,459.63,470.78,392.28,1
208,130.12,156.22,279.08,0
209,140.87,382.64,265.59,0
210,478.02,284.65,166.73,1
211,460.53,134.19,456.54,1
212,261.07,418.37,354.31,1
213,279.88,110.04,315.34,0
214,183.07,52.6,121.36,0
215,23.97,258.69,227.95,0
216,193.67,388.18,264.21,1
217,492.69,55.14,182.83,0
218,259.0,271.23,58.85,0
219,405.52,146.53,33.6,0
220,88.84,432.4,358.79,1
221,369.74,31.08,119.81,0
222,299.24,94.83,72.07,0
223,493.47,165.07,363.29,1
224,162.81,263.61,223.64,0
225,238.6,290.74,169.11,0
226,143.07,341.3,13.91,0
227,371.32,32.33,127.36,0
228,43.58,222.18,22.03,0
229,368.34,464.29,21.31,1
230,418.86,243.14,235.54,1
231,131.58,60.63,124.34,0
232,185.7,338.15,122.53,0
233,179.3,223.82,181.98,0
234,439.45,404.37,249.24,1
235,86.37,73.51,267.42,0
236,458.01,472.46,321.27,1
237,55.37,297.47,274.3,0
238,28.17,453.7,211.42,0
239,407.78,164.24,484.5,1
240,42.02,197.32,259.3,0
241,288.4,285.61,403.72,1
242,263.74,266.39,121.73,0
243,444.04,292.18,124.87,1
244,340.44,116.63,80.55,0
245,491.23,405.34,107.89,1
246,343.95,83.37,123.16,0
247,173.8,442.81,140.68,0
248,469.34,211.5,243.83,1
249,48.75,450.06,476.77,1
250,344.28,336.04,239.29,1
251,63.03,435.94,250.53,0
252,97.85,239.91,293.79,0
253,199.3,379.88,255.87,1
254,254.84,164.74,18.55,0
255,36.26,108.03,67.13,0
256,208.79,471.89,425.22,1
257,273.13,69.71,270.26,0
258,146.67,172.11,286.87,0
259,208.99,405.15,230.48,1
260,391.97,322.81,272.88,1
261,103.33,152.19,320.2,0
262,161.41,461.34,381.21,1
263,145.28,344.73,125.31,0
264,131.98,465.74,255.14,1
265,28.26,473.58,459.35,1
266,478.8,199.12,293.86,1
267,259.22,468.99,422.42,1
268,170.23,386.93,345.09,1
269,441.43,153.77,178.38,0
270,20.75,304.96,495.69,1
271,61.93,332.0,302.65,0
272,19.2,456.25,43.06,0
273,24.99,339.12,118.51,0
274,11.29,213.09,120.07,0
275,308.19,398.33,208.66,1
276,361.61,235.72,74.17,0
277,183.51,359.8,364.49,1
278,464.72,81.51,91.3,0
279,380.27,152.07,129.37,0
280,494.08,115.78,375.02,1
281,386.46,409.11,109.69,1
282,266.0,454.7,438.41,1
283,37.48,49.29,376.69,0
284,68.67,183.84,131.12,0
285,170.13,422.18,216.68,1
286,76.62,399.46,104.14,0
287,322.35,137.07,19.52,0
288,44.06,339.99,386.22,0
289,275.8,271.53,418.08,1
290,187.99,446.36,306.8,1
291,198.11,444.41,412.99,1
292,48.73,100.99,202.44,0
293,362.32,407.77,369.77,1
294,384.37,173.65,100.84,0
295,166.33,59.26,199.63,0
296,194.42,375.89,245.51,1
297,349.28,83.03,117.76,0
298,74.63,130.88,346.23,0
299,311.14,155.27,478.46,1
300,177.63,495.32,491.73,1
301,353.22,489.47,86.16,1
302,321.4,470.21,204.35,1
303,162.78,69.63,328.65,0
304,147.19,416.42,447.72,1
305,202.03,380.34,113.67,0
306,155.02,206.25,16.54,0
307,381.89,90.98,239.65,0
308,397.39,277.47,435.65,1
309,252.79,52.4,444.11,0
310,126.1,241.94,233.76,0
311,251.29,453.44,322.57,1
312,380.67,485.76,19.39,1
313,277.32,212.32,178.55,0
314,17.61,263.72,315.11,0
315,52.93,385.23,258.49,0
316,198.39,36.51,254.7,0
317,422.89,169.21,266.18,1
318,219.53,218.8,379.72,1
319,315.54,405.6,351.14,1
320,286.54,307.36,87.03,0
321,49.64,376.26,67.69,0
322,244.01,147.41,37.32,0
323,221.5,489.36,48.05,0
324,234.4,401.7,11.64,0
325,456.25,316.97,432.41,1
326,156.68,413.78,30.97,0
327,488.95,95.76,467.6,1
