project_id,team_size,project_budget,actual_budget,planned_duration,actual_duration,issues_reported,satisfaction_score,manager_experience_years,complexity,industry,on_time,under_budget,success
P432,40,159137.78,147351.29,330,466.6,9,72.9,12.6,Medium,Finance,0,1,0
P911,26,797974.86,664943.03,125,143.4,10,70.3,7.5,Medium,Retail,0,1,0
P844,38,507959.95,437908.18,173,184.9,9,75.3,4.9,Low,Retail,0,1,0
P344,12,571951.24,628569.33,352,324.1,19,76.0,10.2,Medium,Technology,1,0,0
P139,44,496686.47,538234.55,261,289.0,13,68.4,12.5,Medium,Retail,0,0,0
P526,48,460686.75,497579.66,262,232.7,11,70.0,1.9,Medium,Healthcare,1,0,0
P402,23,603676.3,576424.7,136,155.5,11,62.7,11.9,High,Finance,0,1,0
P687,46,239716.22,239879.94,230,267.1,11,70.7,12.5,Low,Finance,0,0,0
P309,45,263735.32,306869.37,207,183.1,7,81.8,7.5,High,Finance,1,0,0
P236,41,875607.06,614782.44,303,266.6,4,73.6,14.8,Medium,Healthcare,1,1,0
P237,10,951503.92,956193.33,309,414.2,8,85.1,12.0,Medium,Healthcare,0,0,0
P360,30,435978.38,443822.17,115,125.0,4,73.1,11.8,Low,Healthcare,0,0,0
P451,38,343670.21,395447.85,98,88.7,12,60.7,11.5,Low,Healthcare,1,0,0
P459,49,679599.59,496073.94,360,362.7,14,81.0,3.1,Medium,Healthcare,0,1,0
P446,10,467860.75,607763.63,99,83.9,11,68.3,4.0,Medium,Retail,1,0,0
P578,41,122847.72,128096.52,210,227.5,14,72.7,7.5,Low,Healthcare,0,0,0
P406,37,240537.34,253361.85,214,279.9,9,87.4,4.7,Medium,Healthcare,0,0,0
P757,26,744375.01,684619.59,259,283.1,13,63.4,6.8,High,Healthcare,0,1,0
P994,25,693031.55,767604.84,161,272.2,12,76.6,13.4,High,Healthcare,0,0,0
P210,10,124386.39,125579.36,241,290.5,7,74.6,12.5,High,Finance,0,0,0
P396,10,299774.95,372259.45,297,343.8,12,82.0,9.8,Medium,Healthcare,0,0,0
P551,8,307967.32,219180.69,138,120.5,5,83.6,13.0,Medium,Retail,1,1,1
P292,34,704703.47,729445.02,243,252.8,10,77.6,12.0,Medium,Retail,0,0,0
P962,15,117739.48,127359.09,157,142.1,8,71.4,7.0,Medium,Retail,1,0,0
P641,34,193697.72,186477.74,139,77.6,9,79.7,3.8,Low,Technology,1,1,0
P954,35,819924.48,753565.39,241,323.8,11,88.4,8.2,Low,Finance,0,1,0
P130,28,260690.2,241766.32,108,105.0,6,74.7,11.3,Medium,Healthcare,1,1,0
P917,13,687471.5,711483.4,189,172.0,8,72.3,7.1,Low,Technology,1,0,0
P163,7,314364.5,200567.14,149,171.7,8,78.9,10.3,Medium,Healthcare,0,1,0
P808,35,189497.25,226070.79,256,314.4,15,75.4,2.3,Low,Technology,0,0,0
P359,44,318854.97,288236.49,291,296.8,15,61.6,11.5,Low,Technology,0,1,0
P241,41,750040.24,769211.67,235,258.3,10,77.4,12.4,Medium,Retail,0,0,0
P730,40,870126.82,934011.93,253,325.5,10,61.5,10.9,Medium,Retail,0,0,0
P529,28,847197.88,758105.64,331,334.3,10,78.7,14.5,Medium,Technology,0,1,0
P427,35,457465.18,445476.08,158,185.7,10,67.0,12.6,Low,Retail,0,1,0
P725,10,701276.62,415823.34,264,180.9,10,75.4,13.6,Low,Technology,1,1,0
P123,6,284485.87,326141.63,138,109.0,14,78.9,14.1,Medium,Finance,1,0,0
P298,24,363832.96,442425.9,197,246.5,10,99.5,12.2,Medium,Retail,0,0,0
P978,32,906702.24,598243.31,315,244.6,7,82.4,10.4,Medium,Retail,1,1,1
P990,15,111701.73,102620.54,250,289.6,3,88.6,1.1,Medium,Retail,0,1,0
P220,8,176957.68,133430.71,208,221.2,13,93.7,7.5,High,Finance,0,1,0
P438,19,287097.63,276891.86,238,240.1,13,79.9,9.0,Medium,Technology,0,1,0
P751,10,123878.98,139949.47,239,213.4,14,77.9,5.3,Medium,Healthcare,1,0,0
P843,34,263291.89,315281.98,232,307.9,3,64.3,5.5,Medium,Retail,0,0,0
P465,42,624737.4,764910.13,249,381.6,16,73.8,14.5,Medium,Technology,0,0,0
P186,6,479282.1,604906.13,100,117.5,9,67.8,13.5,Medium,Finance,0,0,0
P167,19,903404.54,863218.8,227,268.0,14,71.0,12.9,Medium,Healthcare,0,1,0
P452,15,835699.21,643996.72,167,155.2,7,93.7,6.7,Medium,Retail,1,1,1
P311,12,407635.62,398293.4,166,133.0,8,76.1,1.2,Low,Finance,1,1,0
P840,30,333481.09,375717.64,343,373.9,17,66.2,2.1,Low,Finance,0,0,0
P670,49,441723.17,333301.35,347,297.2,14,88.7,5.4,Medium,Healthcare,1,1,1
P530,48,631265.45,840862.87,352,231.2,7,84.6,1.2,High,Technology,1,0,0
P463,9,341257.28,402539.48,174,226.3,13,85.1,1.2,Low,Retail,0,0,0
P908,10,661734.02,634395.51,235,308.6,5,54.9,13.8,High,Retail,0,1,0
P392,30,468470.49,401865.98,131,116.0,10,94.5,10.9,Medium,Technology,1,1,1
P688,8,596842.46,516970.49,214,248.5,9,69.4,5.3,High,Technology,0,1,0
P170,23,492513.88,499823.39,256,345.7,12,82.8,2.9,High,Technology,0,0,0
P477,24,365019.18,348271.91,330,379.9,11,100.0,8.2,Medium,Healthcare,0,1,0
P350,37,953607.98,1134889.38,277,222.1,10,96.6,1.1,Low,Healthcare,1,0,0
P144,24,787245.21,733244.0,108,112.5,5,65.2,14.1,Low,Retail,0,1,0
P511,16,226101.86,248960.84,157,224.8,6,60.6,6.8,Low,Healthcare,0,0,0
P722,5,881621.18,876521.02,307,356.7,12,89.3,6.6,Medium,Finance,0,1,0
P339,30,538688.08,567741.61,191,235.8,13,76.4,6.5,Low,Retail,0,0,0
P268,18,905097.0,863452.33,131,155.3,10,70.0,2.0,Medium,Healthcare,0,1,0
P296,42,819869.73,935916.64,256,226.8,5,81.2,9.9,Medium,Technology,1,0,0
P877,41,482692.15,552445.04,198,187.1,7,73.4,11.3,High,Finance,1,0,0
P172,15,120222.38,131281.13,125,148.1,13,82.0,10.5,Low,Technology,0,0,0
P327,40,341809.62,383340.47,321,418.7,9,75.7,2.9,Low,Retail,0,0,0
P635,17,587470.79,476512.98,318,437.2,9,82.2,9.1,Low,Technology,0,1,0
P682,47,670130.4,713453.76,253,224.0,10,66.1,9.0,High,Healthcare,1,0,0
P414,7,332098.92,415070.63,162,195.7,11,89.2,13.2,Medium,Healthcare,0,0,0
P888,37,225420.47,247575.0,225,314.3,9,82.0,6.3,Low,Retail,0,0,0
P539,10,851437.21,675918.97,159,135.7,11,81.5,6.2,Low,Technology,1,1,1
P942,14,985961.96,976148.39,285,419.4,10,63.8,9.7,Low,Retail,0,1,0
P375,9,573121.16,616102.72,358,540.5,6,92.0,9.9,Low,Technology,0,0,0
P689,27,254511.36,215958.0,138,242.4,17,74.9,7.6,High,Finance,0,1,0
P644,14,345076.59,251335.07,219,253.5,10,82.3,7.2,Medium,Healthcare,0,1,0
P642,48,116551.61,109183.27,94,109.0,13,71.8,7.9,Medium,Retail,0,1,0
P442,6,922868.93,786130.68,116,151.6,10,77.6,13.1,High,Finance,0,1,0
P505,17,205975.97,205387.34,249,323.6,11,78.0,7.5,Low,Finance,0,1,0
P582,44,618864.83,421891.96,238,328.8,5,46.8,14.2,Medium,Retail,0,1,0
